"car";"day";"shift"
0;"2019-01-01";["06:00:00-10:00:00","15:00:00-21:00:00"]
0;"2019-01-02";["06:00:00-12:00:00","15:00:00-19:00:00"]
0;"2019-01-03";["07:00:00-11:00:00","13:00:00-18:00:00"]
0;"2019-01-04";["10:00:00-16:00:00"]
0;"2019-01-05";["12:00:00-18:00:00"]
1;"2019-01-01";["06:00:00-11:00:00","16:00:00-21:00:00"]
1;"2019-01-02";["06:00:00-10:00:00","15:00:00-21:00:00"]
1;"2019-01-03";["06:00:00-12:00:00","14:00:00-19:00:00"]
1;"2019-01-04";["08:00:00-13:00:00"]
1;"2019-01-05";["10:00:00-16:00:00"]
2;"2019-01-01";["07:00:00-10:00:00","15:00:00-20:00:00"]
2;"2019-01-02";["06:00:00-11:00:00","16:00:00-21:00:00"]
2;"2019-01-03";["06:00:00-12:00:00","14:00:00-21:00:00"]
2;"2019-01-04";["08:00:00-14:00:00"]
2;"2019-01-05";["08:00:00-13:00:00"]
3;"2019-01-01";["06:00:00-12:00:00","15:00:00-19:00:00"]
3;"2019-01-02";["07:00:00-10:00:00","15:00:00-20:00:00"]
3;"2019-01-03";["06:00:00-13:00:00","15:00:00-22:00:00"]
3;"2019-01-04";["12:00:00-18:00:00"]
3;"2019-01-05";["08:00:00-14:00:00"]
